clusterMethod,Mean,Median,Trimean,Best 25%,Worst 25%,Maxium,Mean_rpe,Median_rpe,Trimean_rpe,Best25%_rpe,Worst25%_rpe,Maxium_rpe
GW,4.90 ,3.59 ,3.99 ,0.96 ,10.82 ,20.02 ,6.23 ,4.75 ,5.14 ,1.17 ,13.65 ,24.81 
WP,3.82 ,2.49 ,2.89 ,0.50 ,9.37 ,23.44 ,4.81 ,3.10 ,3.59 ,0.61 ,11.70 ,31.12 
SOG,6.34 ,3.89 ,4.72 ,0.76 ,15.56 ,35.75 ,7.16 ,4.89 ,5.69 ,0.92 ,16.73 ,25.69 
GE1,5.89 ,4.08 ,4.69 ,0.75 ,14.00 ,32.43 ,6.74 ,5.20 ,5.69 ,0.89 ,15.41 ,27.41 
GE2,6.43 ,3.83 ,4.66 ,0.92 ,16.05 ,37.27 ,7.18 ,4.77 ,5.64 ,1.06 ,17.15 ,31.32 
PCA,6.94 ,4.36 ,5.33 ,1.05 ,16.69 ,45.97 ,7.62 ,5.28 ,6.19 ,1.20 ,17.39 ,32.77 
GGW,4.11 ,2.51 ,2.96 ,0.52 ,10.23 ,28.60 ,5.15 ,3.16 ,3.82 ,0.64 ,12.75 ,40.59 
LSR,3.94 ,2.99 ,3.30 ,1.36 ,7.96 ,17.92 ,4.84 ,3.88 ,4.16 ,1.61 ,9.69 ,20.08 
fcmTrainFeatSet,2.85 ,2.07 ,2.16 ,0.58 ,6.58 ,42.02 ,4.04 ,2.62 ,2.82 ,0.70 ,9.96 ,118.64 
kfcmTrainFeatSet,2.83 ,2.08 ,2.18 ,0.57 ,6.51 ,39.05 ,4.02 ,2.68 ,2.86 ,0.68 ,9.90 ,116.17 
fcmTrainFeatSet(f1_cm),2.32 ,0.67 ,1.25 ,0.00 ,7.21 ,16.51 ,3.23 ,0.75 ,1.59 ,0.00 ,10.21 ,43.39 
fcmTrainFeatSet(f2_corrm),2.84 ,2.12 ,2.35 ,0.53 ,6.33 ,14.94 ,3.69 ,2.72 ,3.01 ,0.65 ,8.33 ,21.20 
fcmTrainFeatSet(f2_corrm_root),3.07 ,2.30 ,2.49 ,0.59 ,6.75 ,14.82 ,4.14 ,2.95 ,3.20 ,0.71 ,9.49 ,34.35 
fcmTrainFeatSet(f3_cdf),9.36 ,1.37 ,2.12 ,0.00 ,33.45 ,178.86 ,10.30 ,1.58 ,2.63 ,0.00 ,36.17 ,178.62 
fcmTrainFeatSet(f4_iif),3.00 ,2.12 ,2.32 ,0.70 ,6.87 ,25.17 ,4.02 ,2.59 ,2.94 ,0.79 ,9.64 ,41.66 
fcmTrainFeatSet(f4_iif_s4),2.97 ,1.99 ,2.20 ,0.61 ,6.99 ,21.24 ,3.98 ,2.57 ,2.89 ,0.71 ,9.70 ,33.42 
fcmTrainFeatSet(f5_RGBuv),3.00 ,2.14 ,2.28 ,0.57 ,6.93 ,58.06 ,4.16 ,2.70 ,2.96 ,0.71 ,10.12 ,115.79 
fcmTrainFeatSet(f6_feat4Cheng),3.21 ,2.23 ,2.47 ,0.61 ,7.52 ,30.47 ,4.32 ,2.85 ,3.21 ,0.71 ,10.52 ,38.65 
fcmTrainFeatSet(f7_comp2),2.89 ,2.14 ,2.22 ,0.57 ,6.62 ,36.99 ,4.12 ,2.78 ,2.93 ,0.68 ,10.14 ,118.51 
fcmTrainFeatSet(f7_comp3),2.85 ,2.07 ,2.16 ,0.58 ,6.58 ,42.02 ,4.04 ,2.62 ,2.82 ,0.70 ,9.96 ,118.64 
fcmTrainFeatSet(f7_comp4),2.80 ,1.92 ,2.10 ,0.58 ,6.40 ,34.05 ,3.91 ,2.60 ,2.82 ,0.70 ,9.52 ,118.50 
kfcmTrainFeatSet(f1_cm),2.32 ,0.68 ,1.24 ,0.00 ,7.20 ,16.46 ,3.23 ,0.84 ,1.66 ,0.00 ,10.23 ,44.45 
kfcmTrainFeatSet(f2_corrm),2.83 ,2.14 ,2.34 ,0.53 ,6.32 ,15.04 ,3.67 ,2.69 ,3.00 ,0.65 ,8.32 ,21.28 
kfcmTrainFeatSet(f2_corrm_root),3.06 ,2.28 ,2.45 ,0.58 ,6.74 ,14.88 ,4.14 ,2.96 ,3.20 ,0.70 ,9.49 ,35.81 
kfcmTrainFeatSet(f3_cdf),8.49 ,1.54 ,2.19 ,0.00 ,29.92 ,179.08 ,9.87 ,1.63 ,2.66 ,0.00 ,34.39 ,178.91 
kfcmTrainFeatSet(f4_iif),3.00 ,2.12 ,2.32 ,0.73 ,6.80 ,25.02 ,4.00 ,2.56 ,2.95 ,0.82 ,9.53 ,42.86 
kfcmTrainFeatSet(f4_iif_s4),3.00 ,2.04 ,2.26 ,0.63 ,7.06 ,20.56 ,4.02 ,2.61 ,2.94 ,0.72 ,9.84 ,35.04 
kfcmTrainFeatSet(f5_RGBuv),2.97 ,2.17 ,2.27 ,0.58 ,6.84 ,51.56 ,4.14 ,2.67 ,2.91 ,0.73 ,10.10 ,112.29 
kfcmTrainFeatSet(f6_feat4Cheng),3.23 ,2.21 ,2.48 ,0.60 ,7.57 ,30.31 ,4.35 ,2.88 ,3.23 ,0.71 ,10.62 ,38.42 
kfcmTrainFeatSet(f7_comp2),2.85 ,2.15 ,2.23 ,0.57 ,6.51 ,33.46 ,4.08 ,2.72 ,2.88 ,0.69 ,10.05 ,115.51 
kfcmTrainFeatSet(f7_comp3),2.83 ,2.08 ,2.18 ,0.57 ,6.51 ,39.05 ,4.02 ,2.68 ,2.86 ,0.68 ,9.90 ,116.17 
kfcmTrainFeatSet(f7_comp4),2.78 ,1.99 ,2.13 ,0.61 ,6.31 ,32.80 ,4.02 ,2.51 ,2.75 ,0.72 ,9.91 ,120.15 
