clusterMethod,Mean,Median,Trimean,Best 25%,Worst 25%,Maxium,Mean_rpe,Median_rpe,Trimean_rpe,Best25%_rpe,Worst25%_rpe,Maxium_rpe
GW,4.90 ,3.59 ,3.99 ,0.96 ,10.82 ,20.02 ,6.23 ,4.75 ,5.14 ,1.17 ,13.65 ,24.81 
WP,3.82 ,2.49 ,2.89 ,0.50 ,9.37 ,23.44 ,4.81 ,3.10 ,3.59 ,0.61 ,11.70 ,31.12 
SOG,6.34 ,3.89 ,4.72 ,0.76 ,15.56 ,35.75 ,7.16 ,4.89 ,5.69 ,0.92 ,16.73 ,25.69 
GE1,5.89 ,4.08 ,4.69 ,0.75 ,14.00 ,32.43 ,6.74 ,5.20 ,5.69 ,0.89 ,15.41 ,27.41 
GE2,6.43 ,3.83 ,4.66 ,0.92 ,16.05 ,37.27 ,7.18 ,4.77 ,5.64 ,1.06 ,17.15 ,31.32 
PCA,6.94 ,4.36 ,5.33 ,1.05 ,16.69 ,45.97 ,7.62 ,5.28 ,6.19 ,1.20 ,17.39 ,32.77 
GGW,4.11 ,2.51 ,2.96 ,0.52 ,10.23 ,28.60 ,5.15 ,3.16 ,3.82 ,0.64 ,12.75 ,40.59 
LSR,3.94 ,2.99 ,3.30 ,1.36 ,7.96 ,17.92 ,4.84 ,3.88 ,4.16 ,1.61 ,9.69 ,20.08 
fcmTrainFeatSet,1.87 ,1.42 ,1.50 ,0.41 ,4.16 ,22.70 ,2.54 ,1.88 ,2.03 ,0.51 ,5.75 ,29.84 
kfcmTrainFeatSet,1.88 ,1.41 ,1.50 ,0.41 ,4.16 ,20.35 ,2.54 ,1.82 ,2.00 ,0.51 ,5.77 ,26.24 
kfcmTrainFeatSet(f1_cm),2.64 ,2.13 ,2.25 ,0.61 ,5.50 ,26.98 ,3.68 ,2.87 ,3.06 ,0.81 ,7.89 ,36.12 
kfcmTrainFeatSet(f2_corrm),2.30 ,1.69 ,1.84 ,0.55 ,5.06 ,22.16 ,3.06 ,2.22 ,2.44 ,0.70 ,6.78 ,27.69 
kfcmTrainFeatSet(f2_corrm_root),2.52 ,1.98 ,2.11 ,0.62 ,5.32 ,18.27 ,3.61 ,2.54 ,2.83 ,0.81 ,8.07 ,113.87 
kfcmTrainFeatSet(f3_cdf),49.20 ,6.49 ,40.98 ,1.36 ,173.44 ,179.68 ,50.28 ,8.62 ,41.39 ,1.85 ,171.63 ,179.64 
kfcmTrainFeatSet(f4_iif),2.50 ,1.78 ,1.95 ,0.57 ,5.74 ,21.02 ,3.64 ,2.30 ,2.60 ,0.71 ,8.89 ,110.91 
kfcmTrainFeatSet(f4_iif_s4),2.43 ,1.77 ,1.92 ,0.59 ,5.47 ,22.76 ,3.53 ,2.33 ,2.56 ,0.76 ,8.46 ,101.37 
kfcmTrainFeatSet(f5_RGBuv),2.04 ,1.45 ,1.59 ,0.43 ,4.63 ,28.63 ,2.79 ,1.96 ,2.15 ,0.54 ,6.42 ,44.16 
kfcmTrainFeatSet(f6_feat4Cheng),2.44 ,1.59 ,1.83 ,0.47 ,5.83 ,34.98 ,3.34 ,2.13 ,2.45 ,0.58 ,8.12 ,47.04 
kfcmTrainFeatSet(f7_comp2),2.00 ,1.43 ,1.57 ,0.43 ,4.49 ,22.39 ,2.71 ,1.95 ,2.12 ,0.53 ,6.20 ,32.05 
kfcmTrainFeatSet(f7_comp3),1.88 ,1.41 ,1.50 ,0.41 ,4.16 ,20.35 ,2.54 ,1.82 ,2.00 ,0.51 ,5.77 ,26.24 
kfcmTrainFeatSet(f7_comp4),1.87 ,1.44 ,1.53 ,0.42 ,4.14 ,20.52 ,2.53 ,1.86 ,2.02 ,0.51 ,5.74 ,27.23 
