clusterMethod,Mean,Median,Trimean,Best 25%,Worst 25%,Maxium,Mean_rpe,Median_rpe,Trimean_rpe,Best25%_rpe,Worst25%_rpe,Maxium_rpe
GW,4.25 ,2.76 ,3.09 ,0.63 ,10.40 ,39.54 ,5.34 ,3.67 ,4.09 ,0.81 ,12.64 ,42.57 
WP,3.48 ,2.27 ,2.49 ,0.52 ,8.66 ,20.76 ,4.26 ,2.96 ,3.21 ,0.66 ,10.22 ,24.99 
SOG,4.34 ,2.47 ,3.06 ,0.48 ,11.18 ,22.91 ,5.14 ,3.15 ,3.82 ,0.61 ,12.68 ,26.08 
GE1,3.94 ,2.72 ,3.06 ,0.56 ,9.45 ,20.31 ,4.95 ,3.50 ,3.96 ,0.69 ,11.64 ,24.59 
GE2,4.29 ,2.46 ,2.98 ,0.59 ,10.99 ,33.39 ,5.05 ,3.15 ,3.70 ,0.75 ,12.42 ,27.93 
PCA,4.88 ,2.88 ,3.46 ,0.75 ,12.21 ,29.46 ,5.71 ,3.71 ,4.36 ,0.95 ,13.59 ,28.08 
GGW,3.17 ,1.89 ,2.13 ,0.43 ,8.20 ,20.76 ,3.91 ,2.49 ,2.78 ,0.55 ,9.83 ,26.87 
LSR,5.07 ,4.07 ,4.43 ,1.34 ,10.47 ,17.17 ,6.33 ,5.23 ,5.61 ,1.59 ,12.82 ,20.80 
fcmTrainFeatSet,1.79 ,1.30 ,1.41 ,0.37 ,4.05 ,14.45 ,2.42 ,1.75 ,1.90 ,0.45 ,5.56 ,20.51 
kfcmTrainFeatSet,1.79 ,1.31 ,1.42 ,0.36 ,4.06 ,14.23 ,2.43 ,1.72 ,1.89 ,0.44 ,5.62 ,20.04 
GW,4.41 ,3.05 ,3.36 ,0.68 ,10.53 ,39.54 ,5.56 ,4.00 ,4.39 ,0.88 ,12.89 ,42.57 
WP,3.57 ,2.30 ,2.57 ,0.52 ,8.89 ,23.44 ,4.39 ,3.00 ,3.30 ,0.66 ,10.58 ,31.12 
SOG,4.85 ,2.83 ,3.47 ,0.53 ,12.38 ,35.75 ,5.65 ,3.59 ,4.29 ,0.67 ,13.81 ,26.08 
GE1,4.42 ,2.88 ,3.36 ,0.60 ,10.71 ,32.43 ,5.40 ,3.71 ,4.26 ,0.74 ,12.69 ,27.41 
GE2,4.82 ,2.77 ,3.36 ,0.65 ,12.37 ,37.27 ,5.58 ,3.46 ,4.12 ,0.81 ,13.72 ,31.32 
PCA,5.39 ,3.15 ,3.87 ,0.81 ,13.49 ,45.97 ,6.19 ,4.01 ,4.74 ,1.00 ,14.69 ,32.77 
GGW,3.40 ,2.00 ,2.34 ,0.45 ,8.77 ,28.60 ,4.21 ,2.64 ,3.04 ,0.57 ,10.61 ,40.59 
LSR,4.80 ,3.78 ,4.10 ,1.35 ,10.00 ,20.48 ,5.96 ,4.79 ,5.17 ,1.59 ,12.22 ,21.47 
fcmTrainFeatSet(f1_cm),2.47 ,1.81 ,1.99 ,0.48 ,5.55 ,135.94 ,3.39 ,2.44 ,2.67 ,0.61 ,7.79 ,97.35 
fcmTrainFeatSet(f2_corrm),2.17 ,1.52 ,1.70 ,0.42 ,4.97 ,20.55 ,2.89 ,1.99 ,2.26 ,0.54 ,6.69 ,25.37 
fcmTrainFeatSet(f2_corrm_root),2.38 ,1.77 ,1.94 ,0.48 ,5.26 ,18.29 ,3.39 ,2.37 ,2.62 ,0.62 ,7.86 ,116.53 
fcmTrainFeatSet(f3_cdf),43.23 ,5.97 ,8.46 ,0.46 ,158.24 ,179.94 ,44.06 ,7.84 ,11.46 ,0.57 ,157.29 ,179.93 
fcmTrainFeatSet(f4_iif),2.33 ,1.61 ,1.78 ,0.45 ,5.43 ,21.23 ,3.37 ,2.13 ,2.41 ,0.58 ,8.29 ,117.86 
fcmTrainFeatSet(f4_iif_s4),2.29 ,1.59 ,1.74 ,0.42 ,5.31 ,29.55 ,3.26 ,2.13 ,2.36 ,0.54 ,7.91 ,54.70 
fcmTrainFeatSet(f5_RGBuv),1.94 ,1.42 ,1.52 ,0.37 ,4.42 ,16.17 ,2.62 ,1.91 ,2.05 ,0.46 ,6.06 ,22.72 
fcmTrainFeatSet(f6_feat4Cheng),2.26 ,1.50 ,1.71 ,0.41 ,5.39 ,32.71 ,3.12 ,2.02 ,2.30 ,0.51 ,7.58 ,41.50 
fcmTrainFeatSet(f7_comp2),1.91 ,1.38 ,1.49 ,0.38 ,4.33 ,15.33 ,2.57 ,1.87 ,2.03 ,0.48 ,5.93 ,22.09 
fcmTrainFeatSet(f7_comp3),1.79 ,1.30 ,1.41 ,0.37 ,4.05 ,14.45 ,2.42 ,1.75 ,1.90 ,0.45 ,5.56 ,20.51 
fcmTrainFeatSet(f7_comp4),1.80 ,1.30 ,1.40 ,0.37 ,4.07 ,14.87 ,2.42 ,1.75 ,1.89 ,0.45 ,5.58 ,20.53 
kfcmTrainFeatSet(f1_cm),2.45 ,1.76 ,1.95 ,0.47 ,5.53 ,143.54 ,3.36 ,2.39 ,2.61 ,0.61 ,7.73 ,76.69 
kfcmTrainFeatSet(f2_corrm),2.16 ,1.52 ,1.71 ,0.41 ,4.97 ,20.51 ,2.88 ,1.96 ,2.26 ,0.52 ,6.69 ,25.38 
kfcmTrainFeatSet(f2_corrm_root),2.36 ,1.73 ,1.92 ,0.47 ,5.23 ,18.19 ,3.36 ,2.34 ,2.60 ,0.61 ,7.84 ,121.57 
kfcmTrainFeatSet(f4_iif),2.28 ,1.58 ,1.73 ,0.46 ,5.32 ,21.22 ,3.31 ,2.13 ,2.37 ,0.58 ,8.17 ,113.33 
kfcmTrainFeatSet(f4_iif_s4),2.28 ,1.61 ,1.75 ,0.43 ,5.26 ,28.08 ,3.26 ,2.19 ,2.39 ,0.54 ,7.86 ,55.99 
kfcmTrainFeatSet(f5_RGBuv),1.95 ,1.39 ,1.51 ,0.35 ,4.48 ,15.72 ,2.63 ,1.86 ,2.02 ,0.44 ,6.15 ,22.12 
kfcmTrainFeatSet(f6_feat4Cheng),2.24 ,1.49 ,1.68 ,0.41 ,5.36 ,33.70 ,3.08 ,1.97 ,2.25 ,0.51 ,7.49 ,42.90 
kfcmTrainFeatSet(f7_comp2),1.92 ,1.37 ,1.50 ,0.38 ,4.37 ,15.02 ,2.58 ,1.85 ,2.03 ,0.47 ,6.01 ,19.88 
kfcmTrainFeatSet(f7_comp3),1.79 ,1.31 ,1.41 ,0.36 ,4.06 ,14.22 ,2.43 ,1.74 ,1.90 ,0.44 ,5.62 ,20.04 
kfcmTrainFeatSet(f7_comp4),1.80 ,1.31 ,1.42 ,0.36 ,4.08 ,14.33 ,2.44 ,1.73 ,1.89 ,0.45 ,5.64 ,20.18 
