clusterMethod,Mean,Median,Trimean,Best 25%,Worst 25%,Maxium,Mean_rpe,Median_rpe,Trimean_rpe,Best25%_rpe,Worst25%_rpe,Maxium_rpe
f1_cm,2.50 ,1.69 ,1.91 ,0.12 ,6.23 ,40.80 ,3.43 ,2.23 ,2.48 ,0.14 ,8.80 ,113.29 
f2_corrm,2.61 ,1.90 ,2.09 ,0.61 ,5.79 ,20.87 ,3.41 ,2.45 ,2.70 ,0.75 ,7.73 ,124.29 
f2_corrm_root,2.86 ,2.23 ,2.38 ,0.66 ,6.13 ,20.67 ,3.91 ,2.97 ,3.17 ,0.82 ,8.69 ,102.71 
f3_cdf,45.00 ,4.96 ,9.27 ,0.26 ,167.64 ,179.54 ,45.42 ,6.33 ,11.33 ,0.32 ,166.02 ,179.40 
f4_iif,2.88 ,2.06 ,2.22 ,0.60 ,6.61 ,22.85 ,3.93 ,2.58 ,2.86 ,0.77 ,9.41 ,49.67 
f4_iif_s4,2.88 ,2.09 ,2.22 ,0.57 ,6.64 ,22.42 ,3.90 ,2.61 ,2.86 ,0.71 ,9.39 ,48.81 
f5_RGBuv,2.34 ,1.70 ,1.81 ,0.51 ,5.33 ,21.96 ,3.12 ,2.21 ,2.38 ,0.63 ,7.22 ,34.57 
f6_feat4Cheng,2.90 ,1.97 ,2.21 ,0.54 ,6.80 ,34.91 ,4.02 ,2.55 ,2.90 ,0.68 ,9.87 ,123.33 
f7_comp2,2.22 ,1.60 ,1.74 ,0.45 ,5.06 ,18.22 ,2.93 ,2.04 ,2.26 ,0.57 ,6.77 ,21.28 
f7_comp3,2.13 ,1.55 ,1.69 ,0.48 ,4.76 ,14.83 ,2.80 ,2.06 ,2.23 ,0.59 ,6.35 ,18.79 
f7_comp4,2.10 ,1.52 ,1.67 ,0.46 ,4.74 ,16.91 ,2.77 ,1.99 ,2.18 ,0.58 ,6.28 ,18.81 
