clusterMethod,Mean,Median,Trimean,Best 25%,Worst 25%,Maxium,Mean_rpe,Median_rpe,Trimean_rpe,Best25%_rpe,Worst25%_rpe,Maxium_rpe
kmeans(2),2.12 ,1.53 ,1.68 ,0.48 ,4.76 ,18.32 ,2.80 ,1.99 ,2.21 ,0.59 ,6.35 ,23.79 
fcm(2),2.10 ,1.52 ,1.67 ,0.47 ,4.69 ,15.74 ,2.76 ,1.98 ,2.20 ,0.59 ,6.24 ,18.79 
kfcm(2),2.10 ,1.52 ,1.67 ,0.47 ,4.70 ,15.71 ,2.76 ,1.98 ,2.19 ,0.58 ,6.25 ,18.18 
kmeans(3),2.12 ,1.51 ,1.65 ,0.46 ,4.84 ,15.15 ,2.77 ,1.95 ,2.16 ,0.57 ,6.37 ,20.10 
fcm(3),2.14 ,1.54 ,1.69 ,0.46 ,4.84 ,17.34 ,2.81 ,2.01 ,2.20 ,0.57 ,6.46 ,25.58 
twoStep(2X2),5.98 ,4.05 ,5.29 ,2.49 ,10.35 ,10.98 ,8.55 ,4.16 ,6.81 ,3.47 ,15.36 ,15.68 
twoStepKfcm(2X2),2.12 ,1.53 ,1.66 ,0.43 ,4.83 ,18.07 ,2.81 ,1.98 ,2.19 ,0.53 ,6.50 ,32.77 
kmeans(4),2.15 ,1.46 ,1.61 ,0.45 ,5.06 ,51.86 ,2.84 ,1.86 ,2.10 ,0.57 ,6.77 ,91.14 
fcm(4),2.13 ,1.55 ,1.69 ,0.48 ,4.79 ,15.24 ,2.81 ,2.01 ,2.21 ,0.59 ,6.41 ,18.81 
kfcm(4),2.14 ,1.54 ,1.69 ,0.48 ,4.80 ,14.83 ,2.82 ,2.06 ,2.23 ,0.58 ,6.41 ,18.86 
kfcm(3),2.13 ,1.53 ,1.67 ,0.46 ,4.83 ,18.87 ,2.79 ,1.97 ,2.18 ,0.56 ,6.43 ,27.39 
kmeans(5),2.11 ,1.40 ,1.56 ,0.43 ,4.99 ,31.64 ,2.78 ,1.79 ,2.04 ,0.53 ,6.64 ,52.73 
fcm(5),2.16 ,1.52 ,1.69 ,0.47 ,4.92 ,14.93 ,2.85 ,1.96 ,2.21 ,0.57 ,6.60 ,18.97 
kfcm(5),2.17 ,1.50 ,1.69 ,0.47 ,4.95 ,14.77 ,2.85 ,1.95 ,2.18 ,0.58 ,6.61 ,18.81 
twoStep(6),6.29 ,5.30 ,5.00 ,2.37 ,12.02 ,17.75 ,8.58 ,6.42 ,7.04 ,3.16 ,16.24 ,25.69 
twoStepKfcm(6),2.29 ,1.60 ,1.74 ,0.45 ,5.34 ,30.25 ,3.02 ,2.06 ,2.28 ,0.55 ,7.12 ,41.17 
kmeans(6),2.27 ,1.44 ,1.60 ,0.44 ,5.57 ,108.90 ,3.08 ,1.81 ,2.06 ,0.55 ,7.74 ,119.54 
fcm(6),2.22 ,1.56 ,1.73 ,0.46 ,5.13 ,28.06 ,2.90 ,2.04 ,2.24 ,0.56 ,6.75 ,27.47 
kfcm(6),2.22 ,1.53 ,1.70 ,0.45 ,5.16 ,21.96 ,2.91 ,1.97 ,2.20 ,0.55 ,6.86 ,28.93 
